microsite id,site,latitude,longitude,location,region,country,logger type,zone,tidal height (m),substrate,wave exposure,start date,end date,,,,,
BMRMZAECJO60,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
BMRMZAECJO70,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/27/2014,10/9/2014,,,,,
BMRMZAECJO80,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/27/2014,10/9/2014,,,,,
BMRMZAECKE100,ZAECKE,-33.69416,26.66777,Kenton-on-sea,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/24/2007,8/17/2007,,,,,
BMRMZAECKE101,ZAECKE,-33.69416,26.66777,Kenton-on-sea,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/24/2007,8/17/2007,,,,,
BMRMZAECKE200,ZAECKE,-33.69416,26.66777,Kenton-on-sea,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/24/2007,8/17/2007,,,,,
BMRMZAECKE201,ZAECKE,-33.69416,26.66777,Kenton-on-sea,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/24/2007,8/17/2007,,,,,
BMRMZAECKB100,ZAECKB,-33.1475,27.70333,Kidd's Beach,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/23/2007,8/17/2007,,,,,
BMRMZAECKB101,ZAECKB,-33.1475,27.70333,Kidd's Beach,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/23/2007,8/17/2007,,,,,
BMRMZAECKB200,ZAECKB,-33.1475,27.70333,Kidd's Beach,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/23/2007,8/17/2007,,,,,
BMRMZAECKB201,ZAECKB,-33.1475,27.70333,Kidd's Beach,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/23/2007,8/17/2007,,,,,
BMRMZAECKB300,ZAECKB,-33.1475,27.70333,Kidd's Beach,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,8/19/2007,8/24/2007,,,,,
BMRMZAECMB10,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,9/11/2014,12/10/2014,,,,,
BMRMZAECMB100,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,12/10/2014,12/20/2014,,,,,
BMRMZAECMB110,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,12/26/2014,2/7/2015,,,,,
BMRMZAECMB20,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,10/7/2014,12/10/2014,,,,,
BMRMZAECMB30,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,12/10/2014,12/20/2014,,,,,
BMRMZAECMB40,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,12/26/2014,2/7/2015,,,,,
BMRMZAECMB50,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,6/12/2014,8/1/2014,,,,,
BMRMZAECMB60,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,6/12/2014,8/1/2014,,,,,
BMRMZAECMB70,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,8/1/2014,10/7/2014,,,,,
BMRMZAECMB80,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,8/1/2014,10/7/2014,,,,,
BMRMZAECMB90,ZAECMB,-32.711101,28.339619,Morgans Bay,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,moderately exposed,10/28/2014,12/10/2014,,,,,
BMRMZAECSK100,ZAECSK,-34.04083,25.53333,Skoenmakerskop,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/22/2007,8/12/2007,,,,,
BMRMZAECSK101,ZAECSK,-34.04083,25.53333,Skoenmakerskop,Eastern Cape,South Africa,8cm epoxy robomussel,Low,N/A,Rocky,moderately exposed,5/22/2007,8/12/2007,,,,,
BMRMZAKNBA10,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,6/18/2014,7/30/2014,,,,,
BMRMZAKNBA100,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/24/2014,10/6/2014,,,,,
BMRMZAKNBA110,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,11/8/2014,12/21/2014,,,,,
BMRMZAKNBA120,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,12/21/2014,2/5/2015,,,,,
BMRMZAKNBA20,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/17/2014,8/28/2014,,,,,
BMRMZAKNBA30,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/28/2014,10/6/2014,,,,,
BMRMZAKNBA40,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/28/2014,9/10/2014,,,,,
BMRMZAKNBA50,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/6/2014,2/5/2015,,,,,
BMRMZAKNBA60,ZAKNBA,-29.483833,31.259218,Ballito,KwaZulu-Natal,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,12/21/2014,2/5/2015,,,,,
